body_weight,brain_weight,max_life_span,gestation_time,predation_index,sleep_exposure_index,danger_index,total_sleep,brain_to_body_ratio,log_body_weight,log_brain_weight,sleep_per_kg,sleep_intensity_index,sleep_vs_danger_ratio,threat_index,environment_risk_score,lifespan_per_kg,gestation_to_lifespan_ratio,cognitive_ecology_index,size_class,sleep_profile,risk_profile,brain_x_sleep,size_x_danger,longevity_x_sleep,intelligence_risk_tradeoff
0.425,6.4,7.0,112.0,5,4,4,12.5,15.058788096969186,0.35417181372061385,2.0014800002101243,29.41169550189294,50.0,2.5,4.5,4.5,16.470549481060047,15.99999771428604,6.074515238787675,Micro,Long Sleeper,High Risk,80.0,1.7,87.5,3.34639661123835
465.0,423.0,30.0,281.0,5,5,5,3.9,0.9096774173985432,6.144185634125646,6.049733455231958,0.008387096756156781,19.5,0.65,5.0,5.0,0.0645161288935137,9.366666354444455,0.4538709669594173,Large,Short Sleeper,High Risk,1649.7,2325.0,117.0,0.18193544709261922
0.55,2.4,15.1,79.0,2,1,2,10.3,4.36362842976649,0.4382549309311553,1.2237754316221157,18.727238677747856,10.3,3.4333333333333336,2.0,1.7000000000000002,27.454495537280838,5.23178773299419,1.970751371906596,Micro,Long Sleeper,Low Risk,24.720000000000002,1.1,155.53,2.181813123976683
187.1,419.0,40.0,365.0,5,5,5,3.1,2.2394441355454617,5.236973736306985,6.040254711277414,0.016568679761792198,15.5,0.5166666666666667,5.0,5.0,0.21378941628118966,9.124999771875006,1.0157776542181849,Large,Short Sleeper,High Risk,1298.9,935.5,124.0,0.44788873753134484
0.075,1.2,3.5,42.0,1,1,1,8.4,15.999786669511073,0.07232066157962612,0.7884573603642702,111.99850668657751,8.4,4.2,1.0,1.0,46.66604445274063,11.99999657142955,6.65041466780443,Micro,Moderate Sleeper,Low Risk,10.08,0.075,29.400000000000002,15.999770669740403
3.0,25.0,50.0,28.0,2,2,2,8.6,8.333330555556481,1.3862943611198906,3.258096538021482,2.8666657111114295,17.2,2.8666666666666667,2.0,2.0,16.666661111112962,0.5599999888000002,3.663332222222593,Small,Moderate Sleeper,Low Risk,215.0,6.0,430.0,4.166663194446643
0.785,3.5,6.0,42.0,2,2,2,10.7,4.458593046378285,0.5794184152316023,1.5040773967762742,13.630555884642183,21.4,3.5666666666666664,2.0,2.0,7.643302365219916,6.999998833333527,1.981437218551314,Small,Long Sleeper,Low Risk,37.449999999999996,1.57,64.19999999999999,2.229295408541438
0.2,5.0,10.4,120.0,2,2,2,10.7,24.999875000624996,0.18232155679395465,1.791759469228055,53.49973250133748,21.4,3.5666666666666664,2.0,2.0,51.99974000129999,11.53846042899419,10.211150000249999,Micro,Long Sleeper,Low Risk,53.5,0.4,111.28,12.499931250346872
1.41,17.5,34.0,79.0,1,2,1,6.1,12.411338715362614,0.8796267475025635,2.917770732084279,4.326238066497825,12.2,3.05,1.0,1.3,24.113458075561653,2.3235293434256077,5.306535486145046,Small,Moderate Sleeper,Low Risk,106.75,1.41,207.39999999999998,12.411326304036312
60.0,81.0,7.0,79.0,1,1,1,18.1,1.3499999775000004,4.110873864173311,4.406719247264253,0.301666661638889,18.1,9.05,1.0,1.0,0.11666666472222226,11.285712673469618,0.8009999910000002,Large,Extreme Sleeper,Low Risk,1466.1000000000001,60.0,126.70000000000002,1.3499986275013731
529.0,680.0,28.0,400.0,5,5,5,10.45,1.2854442319745856,6.272877006546167,6.523562306149512,0.01975425327078591,52.25,1.7416666666666665,5.0,5.0,0.05293005661071823,14.285713775510223,0.5981776927898342,Large,Long Sleeper,High Risk,7105.999999999999,2645.0,292.59999999999997,0.2570887949771581
27.66,115.0,20.0,148.0,5,5,5,3.8,4.1576281938673825,3.3555024224000256,4.7535901911063645,0.13738249684083526,19.0,0.6333333333333333,5.0,5.0,0.7230657728465013,7.399999630000018,1.723051277546953,Medium,Short Sleeper,High Risk,437.0,138.3,76.0,0.8315254724683819
0.12,1.0,3.9,16.0,3,1,2,14.4,8.333263889467588,0.11332868530700317,0.6931471805599453,119.99900000833327,14.4,4.8,2.5,2.2,32.499729168923594,4.102563050624859,3.495005555787035,Micro,Extreme Sleeper,Medium Risk,14.4,0.24,56.16,3.333304222465346
207.0,406.0,39.3,252.0,1,4,1,12.0,1.9613526475296974,5.337538079701318,6.008813185442595,0.057971014212700414,48.0,6.0,1.0,1.9,0.18985507154659384,6.412213577297365,1.142441059011879,Large,Long Sleeper,Low Risk,4872.0,207.0,471.59999999999997,1.9613506861790113
85.0,325.0,41.0,310.0,1,3,1,6.2,3.8235293667820076,4.454347296253507,5.786897381366708,0.07294117561245676,18.6,3.1,1.0,1.5999999999999999,0.4823529355017302,7.560975425342063,1.8924117467128032,Large,Moderate Sleeper,Low Risk,2015.0,85.0,254.20000000000002,3.8235255432564648
36.33,119.5,16.2,63.0,1,1,1,13.0,3.2892925051116846,3.6197972929264925,4.791649752930709,0.3578309838196812,13.0,6.5,1.0,1.0,0.44591245675991037,3.8888886488340337,1.604317002044674,Medium,Long Sleeper,Low Risk,1553.5,36.33,210.6,3.289289215822469
0.101,4.0,9.0,28.0,5,1,3,13.8,39.60356828150216,0.09621885774054292,1.6094379124341003,136.63231057118247,13.8,3.45,4.0,3.4,89.10802863337986,3.1111107654321373,15.928427312600865,Micro,Long Sleeper,High Risk,55.2,0.30300000000000005,124.2,9.900889595153142
1.04,5.5,7.6,68.0,5,3,4,8.2,5.288456453407257,0.712949807856125,1.8718021769015913,7.884607803261727,24.599999999999998,1.64,4.5,4.2,7.307685281071845,8.947367243767468,2.1681825813629025,Small,Moderate Sleeper,High Risk,45.099999999999994,4.16,62.31999999999999,1.1752122840433272
521.0,655.0,46.0,336.0,5,5,5,2.9,1.2571976943239969,6.257667587882639,6.486160788944089,0.005566218799297085,14.5,0.48333333333333334,5.0,5.0,0.08829174647160894,7.30434766729679,0.6408790777295987,Large,Short Sleeper,High Risk,1899.5,2605.0,133.4,0.2514394885769016
100.0,157.0,22.4,100.0,1,1,1,10.8,1.5699999843,4.61512051684126,5.062595033026967,0.10799999892000002,10.8,5.4,1.0,1.0,0.22399999776,4.464285514987254,0.9351999937200001,Large,Long Sleeper,Low Risk,1695.6000000000001,100.0,241.92,1.569998414301586
35.0,56.0,16.3,33.0,3,5,4,10.45,1.5999999542857157,3.58351893845611,4.04305126783455,0.29857142004081655,52.25,2.09,3.5,3.8,0.4657142724081637,2.0245397530957203,0.7788999817142862,Medium,Long Sleeper,Medium Risk,585.1999999999999,140.0,170.335,0.4571427134694292
0.005,0.14,2.6,21.5,5,2,4,9.1,27.994401119776047,0.004987541511039074,0.13102826240640408,1819.6360727854428,18.2,1.8199999999999998,4.5,3.9000000000000004,519.8960207958409,8.26922758875862,11.235560447910418,Micro,Moderate Sleeper,High Risk,1.274,0.02,23.66,6.220976644177645
0.01,0.25,24.0,50.0,1,1,1,19.9,24.997500249975005,0.009950330853168083,0.22314355131420976,1989.80101989801,19.9,9.95,1.0,1.0,2399.7600239976005,2.0833332465277814,10.311000099990002,Micro,Extreme Sleeper,Low Risk,4.975,0.01,477.59999999999997,24.997475252499754
62.0,1320.0,100.0,267.0,1,1,1,8.0,21.29032223725287,4.143134726391533,7.186144304522325,0.12903225598335072,8.0,4.0,1.0,1.0,1.612903199791884,2.6699999733000004,9.05612889490115,Large,Moderate Sleeper,Low Risk,10560.0,62.0,800.0,21.290300946951923
0.122,3.0,15.1,30.0,2,1,1,10.6,24.589962377357562,0.11511280710050457,1.3862943611198906,86.88453373333006,10.6,5.3,1.5,1.5,123.7694772993664,1.9867548353142495,10.091284950943026,Micro,Long Sleeper,Low Risk,31.799999999999997,0.122,160.06,16.39329732270683
1.35,8.1,15.1,45.0,3,1,3,11.2,5.999995555558847,0.8544153281560676,2.2082744135228043,8.296290150896183,11.2,2.8,3.0,2.4000000000000004,11.185176899868964,2.9801322529713743,2.565298222223539,Small,Long Sleeper,Medium Risk,90.71999999999998,4.050000000000001,169.11999999999998,1.999997851853665
0.023,0.4,3.2,19.0,4,1,3,13.2,17.390548237033173,0.022739486969489426,0.33647223662121295,573.8880918220947,13.2,3.3,3.5,2.9,139.12438589626538,5.937498144531829,7.055819294813269,Micro,Long Sleeper,Medium Risk,5.28,0.069,42.24,4.9687266480875785
0.048,0.33,2.0,30.0,4,1,3,12.8,6.874856773817212,0.046883585898850416,0.2851789422336624,266.66111122684947,12.8,3.2,3.5,2.9,41.66579862919522,14.99999250000375,2.8459427095268848,Micro,Long Sleeper,Medium Risk,4.224,0.14400000000000002,25.6,1.964244231306566
1.7,6.3,5.0,12.0,2,1,1,19.4,3.7058801730116633,0.9932517730102833,1.9878743481543455,11.411757993083533,19.4,9.7,1.5,1.5,2.941174740485447,2.399999520000096,1.7073520692046653,Small,Extreme Sleeper,Low Risk,122.21999999999998,1.7,97.0,2.470585134951019
3.5,10.8,6.5,120.0,2,1,1,17.4,3.0857134040818845,1.5040773967762742,2.468099531471619,4.971427151020813,17.4,8.7,1.5,1.5,1.8571423265307638,18.46153562130221,1.4637853616327539,Medium,Extreme Sleeper,Low Risk,187.92,3.5,113.1,2.057140897960658
250.0,490.0,23.6,440.0,5,5,5,10.45,1.95999999216,5.5254529391317835,6.19644412779452,0.0417999998328,52.25,1.7416666666666665,5.0,5.0,0.0943999996224,18.64406700660733,0.854799996864,Large,Long Sleeper,High Risk,5120.5,1250.0,246.62,0.391999920032016
0.48,15.5,12.0,140.0,2,2,2,17.0,32.29159939250127,0.3920420877760237,2.803360380906535,35.416592882098165,34.0,5.666666666666667,2.0,2.0,24.999947916775177,11.666665694444527,13.132639757000508,Micro,Extreme Sleeper,Low Risk,263.5,0.96,204.0,16.14579162335482
10.0,115.0,20.2,170.0,4,4,4,10.9,11.499998850000116,2.3978952727983707,4.7535901911063645,1.089999891000011,43.6,2.18,4.0,4.0,2.01999979800002,8.415841167532616,4.7205995400000464,Medium,Long Sleeper,High Risk,1253.5,40.0,220.18,2.8749989937502805
1.62,11.4,13.0,17.0,2,1,2,13.7,7.037032693189696,0.9631743177730056,2.517696472610991,8.456784903219194,13.7,4.566666666666666,2.0,1.7000000000000002,8.024686404514565,1.3076922071005996,3.033813077275879,Small,Long Sleeper,Low Risk,156.18,3.24,178.1,3.518514587337554
192.0,180.0,27.0,115.0,4,4,4,8.4,0.9374999951171875,5.262690188904886,5.198497031265826,0.04374999977213542,33.6,1.6800000000000002,4.0,4.0,0.14062499926757813,4.259259101508922,0.515999998046875,Large,Moderate Sleeper,High Risk,1512.0,768.0,226.8,0.23437494018556182
2.5,12.1,18.0,31.0,5,5,5,8.4,4.839998064000774,1.252762968495368,2.5726122302071057,3.3599986560005375,42.0,1.4000000000000001,5.0,5.0,7.199997120001152,1.7222221265432152,1.9899992256003098,Small,Moderate Sleeper,High Risk,101.64,12.5,151.20000000000002,0.967999419200271
4.288,39.2,13.7,63.0,2,2,2,12.5,9.141788912829078,1.6654401025493852,3.6938669956249757,2.9151112604684557,25.0,4.166666666666667,2.0,2.0,3.1949619414734274,4.598539810325562,3.8778155651316317,Medium,Long Sleeper,Low Risk,490.00000000000006,8.576,171.25,4.570892170968453
0.28,1.9,4.7,21.0,3,1,3,13.2,6.78569005110696,0.2468600779315258,1.0647107369924282,47.14268877611151,13.2,3.3,3.0,2.4000000000000004,16.7856543369488,4.468084155726775,2.8483760204427844,Micro,Long Sleeper,Medium Risk,25.08,0.8400000000000001,62.04,2.26189592973701
4.235,50.4,9.8,52.0,1,1,1,9.8,11.900823636169152,1.6553668443225003,3.9396381724611196,2.314049040366224,9.8,4.9,1.0,1.0,2.314049040366224,5.306121907538581,5.029729454467661,Medium,Moderate Sleeper,Low Risk,493.92,4.235,96.04000000000002,11.900811735357417
6.8,179.0,29.0,164.0,2,3,2,9.6,26.323525540658007,2.0541237336955462,5.19295685089021,1.4117644982699267,28.799999999999997,3.1999999999999997,2.0,2.3,4.264705255190404,5.655172218787165,10.796410216263203,Medium,Moderate Sleeper,Low Risk,1718.3999999999999,13.6,278.4,13.161756189450909
0.75,12.3,7.0,225.0,2,2,2,6.6,16.399978133362488,0.5596157879354227,2.5877640352277083,8.79998826668231,13.2,2.1999999999999997,2.0,2.0,9.333320888905481,32.142852551021065,6.760991253344995,Small,Moderate Sleeper,Low Risk,81.18,1.5,46.199999999999996,8.19998496668876
3.6,21.0,6.0,225.0,3,2,3,5.4,5.833331712963413,1.5260563034950492,3.091042453358316,1.4999995833334492,10.8,1.35,3.0,2.7,1.6666662037038322,37.49999375000104,2.471332685185365,Medium,Short Sleeper,Medium Risk,113.4,10.8,32.400000000000006,1.9444432561733855
14.83,98.2,17.0,150.0,5,5,5,2.6,6.621712297929043,2.761906873892921,4.597138014290827,0.17532028487388504,13.0,0.43333333333333335,5.0,5.0,1.1463249395600177,8.823528892733593,2.6996849191716175,Medium,Short Sleeper,High Risk,255.32000000000002,74.15,44.2,1.3243421947173697
55.5,175.0,20.0,151.0,5,5,5,3.8,3.153153096339584,4.034240638152395,5.170483995038151,0.06846846723480239,19.0,0.6333333333333333,5.0,5.0,0.360360353867381,7.549999622500018,1.3212612385358338,Large,Short Sleeper,High Risk,665.0,277.5,76.0,0.6306304931418182
1.4,12.5,12.7,90.0,2,2,2,11.0,8.928565051024965,0.8754687373538999,2.6026896854443837,7.857137244901969,22.0,3.6666666666666665,2.0,2.0,9.071422091841363,7.086613615227275,3.789526020409986,Small,Long Sleeper,Low Risk,137.5,2.8,139.7,4.464280293372335
0.06,1.0,3.5,79.0,3,1,2,10.3,16.66638889351844,0.05826890812397577,0.6931471805599453,171.66380560323995,10.3,3.4333333333333336,2.5,2.2,58.33236112731455,22.571422122450823,6.827055557407378,Micro,Long Sleeper,Medium Risk,10.3,0.12,36.050000000000004,6.66655289078622
0.9,2.6,4.5,60.0,2,1,2,13.3,2.888885679015912,0.6418538861723948,1.2809338454620642,14.777761358042936,13.3,4.433333333333334,2.0,1.7000000000000002,4.999994444450617,13.333330370371028,1.349054271606365,Small,Long Sleeper,Low Risk,34.580000000000005,1.8,59.85,1.4444421172868973
2.0,12.3,7.5,200.0,3,1,3,5.4,6.149996925001537,1.0986122886681098,2.5877640352277083,2.699998650000675,5.4,1.35,3.0,2.4000000000000004,3.7499981250009373,26.666663111111585,2.602498770000615,Small,Short Sleeper,Medium Risk,66.42,6.0,40.5,2.0499982916677486
0.104,2.5,2.3,46.0,3,2,2,15.8,24.038230401630756,0.09893994785490356,1.252762968495368,151.92161613830638,31.6,5.266666666666667,2.5,2.5,22.11517196950029,19.999991304351607,9.772192160652303,Micro,Extreme Sleeper,Medium Risk,39.5,0.208,36.339999999999996,9.615288314536976
4.19,58.0,24.0,210.0,4,3,4,10.3,13.842478796544437,1.6467336971777973,4.07753744390572,2.458233303524271,30.900000000000002,2.06,4.0,3.7,5.727922260639078,8.749999635416682,5.668991518617775,Medium,Long Sleeper,High Risk,597.4000000000001,16.76,247.20000000000002,3.4606188339814006
3.5,3.9,3.0,14.0,2,1,1,19.4,1.1142853959184582,1.5040773967762742,1.589235205116581,5.542855559184125,19.4,9.7,1.5,1.5,0.8571426122449679,4.666665111111629,0.6647141583673833,Medium,Extreme Sleeper,Low Risk,75.66,3.5,58.199999999999996,0.7428564353746819
4.05,17.0,13.0,38.0,3,1,1,10.45,4.1975298277704125,1.6193882432872684,2.8903717578961645,2.580246276482401,10.45,5.225,2.0,2.0,3.2098757506479627,2.9230766982248695,1.898011931108165,Medium,Long Sleeper,Low Risk,177.64999999999998,4.05,135.85,2.098763864503274
